,Unnamed: 0,Rk,Player,Tm,Age,Pos,G,GS,Rush_Att,Rush_Yds,Rush_TD,Rush_1D,Rush_Lng,Rush_Y/A,Rush_Y/G,Rush_Fmb,Year,Player*,PlayerYearTm*,Pos*,Rec_Tgt,Rec_Rec,Rec_Ctch%,Rec_Yds,Rec_Y/R,Rec_TD,Rec_1D,Rec_Lng,Rec_Y/Tgt,Rec_R/G,Rec_Y/G,Rec_Fmb,Pass_Cmp,Pass_Att,Pass_Cmp%,Pass_Yds,Pass_TD,Pass_TD%,Pass_Int,Pass_Int%,Pass_1D,Pass_Lng,Pass_Y/A,Pass_AY/A,Pass_Y/C,Pass_Y/G,Pass_Rate,Pass_QBR,Pass_Sk,Pass_Yds.1,Pass_Sk%,Pass_NY/A,Pass_ANY/A,Pass_4QC,Pass_GWD,QBrec
0,229,223,Ernie Conwell,STL,28,TE,16,1,2,23,0,1,17,11.5,1.4,0,2000,Ernie Conwell,Ernie Conwell2000STL,TE,9,5,55.6%,40,8.0,0,3,17,4.4,0.3,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,276,269,Rickey Dudley,OAK,28,TE,16,16,1,-7,0,0,-7,-7.0,-0.4,1,2000,Rickey Dudley,Rickey Dudley2000OAK,TE,49,29,59.2%,350,12.1,4,18,30,7.1,1.8,21.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,318,309,Mike Sellers,WAS,25,TE,15,6,1,2,0,1,2,2.0,0.1,0,2000,Mike Sellers,Mike Sellers2000WAS,TE,11,8,72.7%,78,9.8,2,6,24,7.1,0.5,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,821,159,Ernie Conwell,STL,29,TE,16,14,7,28,1,3,13,4.0,1.8,2,2001,Ernie Conwell,Ernie Conwell2001STL,TE,52,38,73.1%,431,11.3,4,19,47,8.3,2.4,26.9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,923,258,Tony Gonzalez*+,KAN,25,TE,16,16,1,9,0,0,9,9.0,0.6,0,2001,Tony Gonzalez,Tony Gonzalez2001KAN,TE,118,73,61.9%,917,12.6,6,49,36,7.8,4.6,57.3,0,1,1,100,40,0,0,0,0,1,40,40.0,40.0,40.0,2.5,118.7,0,0,0,0,40.00,40.00,0,0,0
5,971,304,Frank Wycheck,TEN,30,TE,16,16,1,1,0,0,1,1.0,0.1,0,2001,Frank Wycheck,Frank Wycheck2001TEN,TE,84,60,71.4%,672,11.2,4,36,30,8.0,3.8,42.0,0,1,1,100,21,0,0,0,0,1,21,21.0,21.0,21.0,1.3,118.7,0,0,0,0,21.00,21.00,0,0,0
6,1155,179,Ernie Conwell,STL,30,TE,16,11,6,30,1,2,15,5.0,1.9,0,2002,Ernie Conwell,Ernie Conwell2002STL,TE,48,34,70.8%,419,12.3,2,18,52,8.7,2.1,26.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1157,180,Jim Kleinsasser,MIN,25,TE,14,12,6,17,0,1,4,2.8,1.2,0,2002,Jim Kleinsasser,Jim Kleinsasser2002MIN,TE,50,37,74.0%,393,10.6,1,22,39,7.9,2.6,28.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1179,202,Todd Heap*,BAL,22,TE,16,16,4,38,0,2,15,9.5,2.4,0,2002,Todd Heap,Todd Heap2002BAL,TE,122,68,55.7%,836,12.3,6,45,43,6.9,4.3,52.3,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,39.6,0,0,0,0,0.00,0.00,0,0,0
9,1272,292,Randy McMichael,MIA,23,TE,16,16,1,8,0,0,8,8.0,0.5,1,2002,Randy McMichael,Randy McMichael2002MIA,TE,68,39,57.4%,485,12.4,4,24,45,7.1,2.4,30.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
