,Unnamed: 0,Rk,Player,Tm,Age,Pos,G,GS,Rush_Att,Rush_Yds,Rush_TD,Rush_1D,Rush_Lng,Rush_Y/A,Rush_Y/G,Rush_Fmb,Year,Player*,PlayerYearTm*,Pos*,Rec_Tgt,Rec_Rec,Rec_Ctch%,Rec_Yds,Rec_Y/R,Rec_TD,Rec_1D,Rec_Lng,Rec_Y/Tgt,Rec_R/G,Rec_Y/G,Rec_Fmb,Pass_Cmp,Pass_Att,Pass_Cmp%,Pass_Yds,Pass_TD,Pass_TD%,Pass_Int,Pass_Int%,Pass_1D,Pass_Lng,Pass_Y/A,Pass_AY/A,Pass_Y/C,Pass_Y/G,Pass_Rate,Pass_QBR,Pass_Sk,Pass_Yds.1,Pass_Sk%,Pass_NY/A,Pass_ANY/A,Pass_4QC,Pass_GWD,QBrec
0,136,133,Peter Warrick,CIN,23,WR,16,16,16,148,2,6,77,9.3,9.3,2,2000,Peter Warrick,Peter Warrick2000CIN,WR,126,51,40.5%,592,11.6,4,34,46,4.7,3.2,37.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,155,151,James Thrash,WAS,25,WR,16,9,10,82,0,4,34,8.2,5.1,1,2000,James Thrash,James Thrash2000WAS,WR,74,50,67.6%,653,13.1,2,29,50,8.8,3.1,40.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,158,154,Dennis Northcutt,CLE,23,WR,15,8,9,33,0,1,13,3.7,2.2,1,2000,Dennis Northcutt,Dennis Northcutt2000CLE,WR,82,39,47.6%,422,10.8,0,24,37,5.1,2.6,28.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,162,158,Rocket Ismail,DAL,31,WR,9,9,8,73,0,3,37,9.1,8.1,1,2000,Rocket Ismail,Rocket Ismail2000DAL,WR,43,25,58.1%,350,14.0,1,18,44,8.1,2.8,38.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,172,168,Troy Brown,NWE,29,WR,16,15,6,46,0,2,35,7.7,2.9,2,2000,Troy Brown,Troy Brown2000NWE,WR,119,83,69.7%,944,11.4,4,46,44,7.9,5.2,59.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,174,170,Joe Horn*,NOR,28,WR,16,16,6,10,0,1,16,1.7,0.6,1,2000,Joe Horn,Joe Horn2000NOR,WR,151,94,62.3%,1340,14.3,8,62,52,8.9,5.9,83.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,177,173,Wane McGarity,DAL,24,WR,14,0,6,49,1,2,22,8.2,3.5,2,2000,Wane McGarity,Wane McGarity2000DAL,WR,49,25,51.0%,250,10.0,0,12,25,5.1,1.8,17.9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,178,174,Rod Smith*,DEN,30,WR,16,16,6,99,1,3,50,16.5,6.2,1,2000,Rod Smith,Rod Smith2000DEN,WR,173,100,57.8%,1602,16.0,8,77,49,9.3,6.3,100.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,182,178,Tim Dwight,ATL,25,WR,14,1,5,8,0,1,5,1.6,0.6,3,2000,Tim Dwight,Tim Dwight2000ATL,WR,53,26,49.1%,406,15.6,3,20,52,7.7,1.9,29.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,183,179,Jacquez Green,TAM,24,WR,16,16,5,13,0,0,6,2.6,0.8,0,2000,Jacquez Green,Jacquez Green2000TAM,WR,103,51,49.5%,773,15.2,1,34,75,7.5,3.2,48.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,186,181,Az-Zahir Hakim,STL,23,WR,16,4,5,19,0,1,5,3.8,1.2,7,2000,Az,Az2000STL,WR,81,53,65.4%,734,13.8,4,32,80,9.1,3.3,45.9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,189,184,Charles Johnson,PHI,28,WR,16,16,5,18,0,1,15,3.6,1.1,0,2000,Charles Johnson,Charles Johnson2000PHI,WR,100,56,56.0%,642,11.5,7,33,59,6.4,3.5,40.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,191,186,Amani Toomer,NYG,26,WR,16,14,5,91,1,5,28,18.2,5.7,1,2000,Amani Toomer,Amani Toomer2000NYG,WR,124,78,62.9%,1094,14.0,7,60,54,8.8,4.9,68.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,193,188,Terry Glenn,NWE,26,WR,16,16,4,39,0,1,35,9.8,2.4,0,2000,Terry Glenn,Terry Glenn2000NWE,WR,163,79,48.5%,963,12.2,6,56,39,5.9,4.9,60.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,196,191,Johnnie Morton,DET,29,WR,16,16,4,25,0,0,27,6.3,1.6,1,2000,Johnnie Morton,Johnnie Morton2000DET,WR,116,61,52.6%,788,12.9,3,40,42,6.8,3.8,49.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,197,192,Leslie Shepherd,MIA,31,WR,13,11,4,3,0,1,14,0.8,0.2,0,2000,Leslie Shepherd,Leslie Shepherd2000MIA,WR,59,35,59.3%,446,12.7,4,16,46,7.6,2.7,34.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,198,193,Jason Tucker,DAL,24,WR,16,7,4,42,1,2,17,10.5,2.6,3,2000,Jason Tucker,Jason Tucker2000DAL,WR,28,13,46.4%,126,9.7,0,9,18,4.5,0.8,7.9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,199,194,Dedric Ward,NYJ,26,WR,16,16,4,23,0,0,12,5.8,1.4,1,2000,Dedric Ward,Dedric Ward2000NYJ,WR,119,54,45.4%,801,14.8,3,39,61,6.7,3.4,50.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,200,195,Hines Ward,PIT,24,WR,16,15,4,53,0,2,23,13.3,3.3,2,2000,Hines Ward,Hines Ward2000PIT,WR,83,48,57.8%,672,14.0,4,31,77,8.1,3.0,42.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,201,196,Derrick Alexander,KAN,29,WR,16,16,3,45,0,2,26,15.0,2.8,0,2000,Derrick Alexander,Derrick Alexander2000KAN,WR,144,78,54.2%,1391,17.8,10,55,81,9.7,4.9,86.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,202,197,David Boston,ARI,22,WR,16,16,3,9,0,1,24,3.0,0.6,2,2000,David Boston,David Boston2000ARI,WR,133,71,53.4%,1156,16.3,7,48,70,8.7,4.4,72.3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,204,199,Tim Brown,OAK,34,WR,16,16,3,12,0,0,7,4.0,0.8,0,2000,Tim Brown,Tim Brown2000OAK,WR,133,76,57.1%,1128,14.8,11,59,45,8.5,4.8,70.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,206,201,Wayne Chrebet,NYJ,27,WR,16,16,3,-3,0,1,8,-1.0,-0.2,0,2000,Wayne Chrebet,Wayne Chrebet2000NYJ,WR,143,69,48.3%,937,13.6,8,49,50,6.6,4.3,58.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,207,202,Curtis Conway,SDG,29,WR,14,14,3,31,0,3,13,10.3,2.2,0,2000,Curtis Conway,Curtis Conway2000SDG,WR,99,53,53.5%,712,13.4,5,30,68,7.2,3.8,50.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,208,203,Troy Edwards,PIT,23,WR,14,1,3,4,0,0,15,1.3,0.3,1,2000,Troy Edwards,Troy Edwards2000PIT,WR,44,18,40.9%,215,11.9,0,11,27,4.9,1.3,15.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,209,204,Bert Emanuel,MIA,30,WR,11,0,3,-2,0,0,0,-0.7,-0.2,1,2000,Bert Emanuel,Bert Emanuel2000MIA,WR,21,7,33.3%,132,18.9,1,5,53,6.3,0.6,12.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,212,207,Ike Hilliard,NYG,24,WR,14,14,3,19,0,1,17,6.3,1.4,0,2000,Ike Hilliard,Ike Hilliard2000NYG,WR,105,55,52.4%,787,14.3,8,44,59,7.5,3.9,56.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,214,209,Eddie Kennison,CHI,27,WR,16,10,3,72,0,2,52,24.0,4.5,1,2000,Eddie Kennison,Eddie Kennison2000CHI,WR,95,55,57.9%,549,10.0,2,29,26,5.8,3.4,34.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,216,210,Jermaine Lewis,BAL,26,WR,15,1,3,38,0,2,23,12.7,2.5,0,2000,Jermaine Lewis,Jermaine Lewis2000BAL,WR,35,19,54.3%,161,8.5,1,11,26,4.6,1.3,10.7,0,1,1,100,3,0,0,0,0,1,3,3.0,3.0,3.0,0.2,79.2,0,0,0,0,3.00,3.00,0,0,0
29,219,213,Randy Moss*+,MIN,23,WR,16,16,3,5,0,0,9,1.7,0.3,2,2000,Randy Moss,Randy Moss2000MIN,WR,129,77,59.7%,1437,18.7,15,57,78,11.1,4.8,89.8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
