,RK,Name,POS,GP,CMP,ATT,CMP%,YDS,AVG,YDS/G,LNG,TD,INT,SACK,SYL,QBR,RTG,Year*
0,1,Peyton ManningIND,QB,16,357,571,62.5,4413,7.7,275.8,78,33,15,20,131,,94.7,2000
1,2,Jeff GarciaSF,QB,16,355,561,63.3,4278,7.6,267.4,69,31,10,24,155,,97.6,2000
2,3,Elvis GrbacKC,QB,15,326,547,59.6,4169,7.6,277.9,81,28,14,29,213,,89.9,2000
3,4,Daunte CulpepperMIN,QB,16,297,474,62.7,3937,8.3,246.1,78,33,16,34,181,,98.0,2000
4,5,Brett FavreGB,QB,16,338,580,58.3,3812,6.6,238.3,67,20,16,33,236,,78.0,2000
5,6,Vinny TestaverdeNYJ,QB,16,328,590,55.6,3732,6.3,233.3,63,21,25,13,71,,69.0,2000
6,7,Steve BeuerleinCAR,QB,16,324,533,60.8,3730,7.0,233.1,54,19,18,62,331,,79.7,2000
7,8,Mark BrunellJAX,QB,16,311,512,60.7,3640,7.1,227.5,67,20,14,54,289,,84.0,2000
8,9,Kerry CollinsNYG,QB,16,311,529,58.8,3610,6.8,225.6,59,22,13,28,243,,83.1,2000
9,10,Rich GannonOAK,QB,16,284,473,60.0,3430,7.3,214.4,84,28,11,28,124,,92.4,2000
10,11,Kurt WarnerSTL,QB,11,235,347,67.7,3429,9.9,311.7,85,21,18,20,115,,98.3,2000
11,12,Donovan McNabbPHI,QB,16,330,569,58.0,3365,5.9,210.3,70,21,13,45,262,,77.8,2000
12,13,Drew BledsoeNE,QB,16,312,531,58.8,3291,6.2,205.7,59,17,13,45,264,,77.3,2000
13,14,Jake PlummerARI,QB,14,270,475,56.8,2946,6.2,210.4,70,13,21,22,151,,66.0,2000
14,15,Steve McNairTEN,QB,16,248,396,62.6,2847,7.2,177.9,56,15,13,24,141,,83.2,2000
15,16,Shaun KingTB,QB,16,233,428,54.4,2769,6.5,173.1,75,18,13,37,240,,75.8,2000
16,17,Brian GrieseDEN,QB,10,216,336,64.3,2688,8.0,268.8,61,19,4,17,139,,102.9,2000
17,18,Jon KitnaSEA,QB,15,259,418,62.0,2658,6.4,177.2,71,18,19,33,166,,75.6,2000
18,19,Brad JohnsonWSH,QB,12,228,365,62.5,2505,6.9,208.8,77,11,15,20,150,,75.7,2000
19,20,Charlie BatchDET,QB,15,221,412,53.6,2489,6.0,165.9,59,13,15,41,242,,67.3,2000
20,21,Jay FiedlerMIA,QB,15,204,357,57.1,2402,6.7,160.1,61,14,14,23,129,,74.5,2000
21,22,Chris ChandlerATL,QB,14,192,331,58.0,2236,6.8,159.7,55,10,12,40,251,,73.5,2000
22,23,Rob JohnsonBUF,QB,12,175,306,57.2,2125,6.9,177.1,74,12,7,49,292,,82.2,2000
23,24,Trent GreenSTL,QB,8,145,240,60.4,2063,8.6,257.9,64,16,5,24,145,,101.8,2000
24,25,Jeff BlakeNO,QB,11,184,302,60.9,2025,6.7,184.1,49,13,9,24,150,,82.7,2000
25,26,Ryan LeafSD,QB,11,161,322,50.0,1883,5.8,171.2,83,11,18,31,155,,56.2,2000
26,27,Kordell StewartPIT,QB,16,151,289,52.2,1860,6.4,116.3,45,11,8,30,150,,73.6,2000
27,28,Gus FrerotteDEN,QB,10,138,232,59.5,1776,7.7,177.6,44,9,8,12,77,,82.1,2000
28,29,Doug FlutieBUF,QB,11,132,231,57.1,1700,7.4,154.5,52,8,3,10,68,,86.5,2000
29,30,Cade McNownCHI,QB,10,154,280,55.0,1646,5.9,164.6,68,8,9,27,169,,68.5,2000
30,31,Troy AikmanDAL,QB,11,156,262,59.5,1632,6.2,148.4,48,7,14,13,91,,64.3,2000
31,32,Tony BanksBAL,QB,11,150,274,54.7,1578,5.8,143.5,53,8,8,20,152,,69.3,2000
32,33,Aaron BrooksNO,QB,8,113,194,58.2,1514,7.8,189.3,53,9,6,15,94,,85.7,2000
33,34,Trent DilferBAL,QB,11,134,226,59.3,1502,6.6,136.5,59,12,11,23,135,,76.6,2000
34,35,Tim CouchCLE,QB,7,137,215,63.7,1483,6.9,211.9,79,7,9,10,78,,77.3,2000
35,36,Jim HarbaughSD,QB,7,123,202,60.9,1416,7.0,202.3,62,8,10,14,96,,74.6,2000
36,37,Jeff GeorgeWSH,QB,6,113,194,58.2,1389,7.2,231.5,50,7,6,12,94,,79.6,2000
37,38,Akili SmithCIN,QB,12,118,267,44.2,1253,4.7,104.4,46,3,6,36,191,,52.9,2000
38,39,Doug PedersonCLE,QB,11,117,210,55.7,1047,5.0,95.2,67,2,8,17,116,,56.6,2000
39,40,Scott MitchellCIN,QB,8,89,187,47.6,966,5.2,120.8,38,3,8,16,82,,50.8,2000
40,41,Shane MatthewsCHI,QB,6,102,178,57.3,964,5.4,160.7,41,3,6,5,24,,64.0,2000
41,42,Kent GrahamPIT,QB,12,66,148,44.6,878,5.9,73.2,77,1,1,13,70,,63.4,2000
42,43,Randall CunninghamDAL,QB,6,74,125,59.2,849,6.8,141.5,76,6,4,8,45,,82.4,2000
43,44,Brock HuardSEA,QB,5,49,87,56.3,540,6.2,108.0,45,3,2,13,72,,76.8,2000
44,45,Neil O'DonnellTEN,QB,7,36,64,56.3,530,8.3,75.7,67,2,3,3,23,,74.3,2000
45,46,Danny KanellATL,QB,5,57,116,49.1,524,4.5,104.8,35,2,5,8,60,,49.6,2000
46,47,Stoney CaseDET,QB,5,56,91,61.5,503,5.5,100.6,40,1,4,12,75,,61.7,2000
47,48,Dave BrownARI,QB,6,40,69,58.0,467,6.8,77.8,44,2,3,10,53,,70.1,2000
48,49,Doug JohnsonATL,QB,4,36,67,53.7,406,6.1,101.5,26,2,3,13,75,,63.4,2000
49,50,Jim MillerCHI,QB,3,47,82,57.3,382,4.7,127.3,34,1,1,2,7,,68.2,2000
50,51,Damon HuardMIA,QB,16,39,63,61.9,318,5.0,19.9,29,1,3,4,22,,60.2,2000
51,52,Jamie MartinJAX,QB,5,22,33,66.7,307,9.3,61.4,65,2,1,0,0,,104.0,2000
52,53,Moses MorenoSD,QB,6,27,53,50.9,241,4.5,40.2,26,0,2,8,51,,47.8,2000
53,54,Anthony WrightDAL,QB,4,22,53,41.5,237,4.5,59.3,46,0,3,12,92,,31.7,2000
54,55,Warren MoonKC,QB,2,15,34,44.1,208,6.1,104.0,41,1,1,5,46,,61.9,2000
55,56,Ray LucasNYJ,QB,7,21,41,51.2,206,5.0,29.4,30,0,4,6,24,,26.1,2000
56,57,Spergon WynnCLE,QB,7,22,54,40.7,167,3.1,23.9,32,0,1,13,89,,41.2,2000
57,58,Rick MirerSF,QB,1,10,20,50.0,126,6.3,126.0,26,1,0,1,6,,86.7,2000
58,59,Jeff LewisCAR,QB,5,16,32,50.0,120,3.8,24.0,16,0,1,7,51,,46.4,2000
59,60,Matt HasselbeckGB,QB,16,10,19,52.6,104,5.5,6.5,27,1,0,1,2,,86.3,2000
60,61,Bubby BristerMIN,QB,2,10,20,50.0,82,4.1,41.0,20,0,1,1,6,,40.0,2000
61,62,Michael BishopNE,QB,8,3,9,33.3,80,8.9,10.0,44,1,1,0,0,,64.4,2000
62,63,Alex Van PeltBUF,QB,1,4,8,50.0,67,8.4,67.0,36,0,0,0,0,,78.6,2000
63,63,Chad PenningtonNYJ,QB,1,2,5,40.0,67,13.4,67.0,62,1,0,1,4,,127.1,2000
64,65,John FrieszNE,QB,1,11,21,52.4,66,3.1,66.0,17,0,1,3,16,,39.0,2000
65,66,Chris GreisenARI,QB,3,6,10,60.0,65,6.5,21.7,26,1,0,3,24,,112.5,2000
66,67,Frank WycheckTEN,TE,16,2,2,100.0,53,26.5,3.3,30,1,0,0,0,,158.3,2000
67,67,Clint StoernerDAL,QB,1,3,5,60.0,53,10.6,53.0,29,1,0,2,21,,135.8,2000
68,69,Chris MohrBUF,P,16,1,1,100.0,44,44.0,2.8,44,0,0,0,0,,118.8,2000
69,70,Mark RoyalsTB,P,16,1,1,100.0,36,36.0,2.3,36,0,0,0,0,,118.8,2000
70,71,Ricky WilliamsNO,RB,10,1,1,100.0,34,34.0,3.4,34,0,0,0,0,,118.8,2000
71,72,Sylvester MorrisKC,WR,15,1,1,100.0,31,31.0,2.1,31,0,0,0,0,,118.8,2000
72,73,Kevin JohnsonCLE,WR,16,1,3,33.3,23,7.7,1.4,23,0,1,0,0,,22.2,2000
73,74,Brian MitchellPHI,RB,16,1,4,25.0,21,5.3,1.3,21,0,0,0,0,,49.0,2000
74,75,Eric ZeierTB,QB,3,3,3,100.0,19,6.3,6.3,14,0,0,0,0,,93.1,2000
75,75,Chris RedmanBAL,QB,2,2,3,66.7,19,6.3,9.5,12,0,0,0,0,,84.0,2000
76,77,Lee JohnsonNE,P,16,1,1,100.0,18,18.0,1.1,18,0,0,0,0,,118.8,2000
