,RK,Name,POS,GP,ATT,YDS,AVG,LNG,BIG,TD,YDS/G,FUM,LST,FD,Year*
0,1,Edgerrin JamesIND,RB,16,387,1709,4.4,30,9,13,106.8,5,5,99,2000
1,2,Robert SmithMIN,RB,16,295,1521,5.2,72,11,7,95.1,4,1,63,2000
2,3,Eddie GeorgeTEN,RB,16,403,1509,3.7,35,4,14,94.3,5,3,78,2000
3,4,Mike AndersonDEN,RB,16,297,1487,5.0,80,12,15,92.9,4,3,76,2000
4,5,Corey DillonCIN,RB,16,315,1435,4.6,80,12,7,89.7,4,3,66,2000
5,6,Fred TaylorJAX,RB,13,292,1399,4.8,71,12,12,107.6,2,1,73,2000
6,7,Jamal LewisBAL,RB,16,309,1364,4.4,45,8,6,85.3,4,0,62,2000
7,8,Marshall FaulkSTL,RB,14,253,1359,5.4,36,6,18,97.1,0,0,78,2000
8,9,Jerome BettisPIT,RB,16,355,1341,3.8,30,5,8,83.8,1,0,71,2000
9,10,Stephen DavisWSH,RB,15,332,1318,4.0,50,5,11,87.9,3,3,71,2000
10,11,Ricky WattersSEA,RB,16,278,1242,4.5,55,7,7,77.6,5,2,60,2000
11,12,Curtis MartinNYJ,RB,16,316,1204,3.8,55,8,9,75.3,2,2,61,2000
12,13,Emmitt SmithDAL,RB,16,294,1203,4.1,52,6,9,75.2,6,5,65,2000
13,14,James StewartDET,RB,16,339,1184,3.5,34,3,10,74.0,4,2,65,2000
14,15,Ahman GreenGB,RB,16,263,1175,4.5,39,10,10,73.4,3,2,61,2000
15,16,Charlie GarnerSF,RB,16,258,1142,4.4,42,8,7,71.4,4,3,53,2000
16,17,Lamar SmithMIA,RB,15,309,1139,3.7,68,6,14,75.9,3,3,62,2000
17,18,Warrick DunnTB,RB,16,248,1133,4.6,70,11,8,70.8,1,1,42,2000
18,19,James AllenCHI,RB,16,290,1120,3.9,29,5,2,70.0,5,4,56,2000
19,20,Tyrone WheatleyOAK,RB,14,232,1046,4.5,80,8,9,74.7,4,3,50,2000
20,21,Jamal AndersonATL,RB,16,282,1024,3.6,42,7,6,64.0,6,4,53,2000
21,22,Tiki BarberNYG,RB,16,213,1006,4.7,78,9,8,62.9,5,3,38,2000
22,23,Ricky WilliamsNO,RB,10,248,1000,4.0,26,3,8,100.0,6,3,56,2000
23,24,Ron DayneNYG,RB,16,228,770,3.4,50,2,5,48.1,1,1,47,2000
24,25,Michael PittmanARI,RB,16,184,719,3.9,29,5,4,44.9,3,1,35,2000
25,26,Tony RichardsonKC,FB,16,147,697,4.7,33,4,3,43.6,1,1,35,2000
26,27,Donovan McNabbPHI,QB,16,86,629,7.3,54,6,6,39.3,2,1,31,2000
